DOW_x,GameStatus,OffenseCategory,Date,AverageDailyCrimes
0,AwayL,2774,17,163.1764705882353
0,AwayW,1723,8,215.375
0,HomeL,571,4,142.75
0,HomeW,992,8,124.0
0,NoGame,33073,172,192.28488372093022
1,AwayL,1825,8,228.125
1,AwayW,1790,8,223.75
1,HomeL,1591,9,176.77777777777777
1,HomeW,2567,14,183.35714285714286
1,NoGame,31307,169,185.24852071005918
2,AwayL,2857,19,150.3684210526316
2,AwayW,715,6,119.16666666666667
2,HomeL,1035,8,129.375
2,HomeW,3120,20,156.0
2,NoGame,31926,155,205.9741935483871
3,AwayL,1183,8,147.875
3,AwayW,187,1,187.0
3,HomeL,1026,7,146.57142857142858
3,HomeW,3182,18,176.77777777777777
3,NoGame,33815,175,193.22857142857143
4,AwayL,2230,15,148.66666666666666
4,AwayW,2305,12,192.08333333333334
4,HomeL,1372,7,196.0
4,HomeW,2040,11,185.45454545454547
4,NoGame,33812,164,206.17073170731706
5,AwayL,1167,10,116.7
5,AwayW,1851,10,185.1
5,HomeL,1081,8,135.125
5,HomeW,3180,20,159.0
5,NoGame,31932,160,199.575
6,AwayL,1565,9,173.88888888888889
6,AwayW,2054,16,128.375
6,HomeL,826,6,137.66666666666666
6,HomeW,1409,7,201.28571428571428
6,NoGame,30215,170,177.73529411764707
